AA	volcanic rock [n]
BESMUT	blacken with smut [v]
BESMUTCH	besmirch (tarnish (someone's name or reputation))
BESMUTCHED	BESMUTCH [v]
BESMUTCHES	BESMUTCH [v]
BESMUTCHING	BESMUTCH [v]
BESMUTS	BESMUT, blacken with smut [v]
BESMUTTED	BESMUT, blacken with smut [v]
BESMUTTING	BESMUT, blacken with smut [v]
BESNOW	cover with snow (archaic) [v]
BESNOWED	BESNOW, cover with snow (archaic) (archaic) [v]
BESNOWING	BESNOW, cover with snow (archaic) (archaic) [v]
BESNOWS	BESNOW, cover with snow (archaic) (archaic) [v]
BESOGNIO	worthless person [n]
BESOGNIOS	BESOGNIO, worthless person [n]
BESOIN	need [n]
BESOINS	BESOIN, need [n]
BESOM	broom made of twigs [n] / sweep with a besom [v]
BESOMED	BESOM, broom made of twigs [n]
BESOMING	BESOM, broom made of twigs [n]
BESOMS	BESOM, broom made of twigs [n]
BESONIAN	bezonian (knave or rascal (archaic)) (archaic)
BESONIANS	BESONIAN [n]
BESOOTHE	soothe [v]
BESOOTHED	BESOOTHE, soothe [v]
BESOOTHES	BESOOTHE, soothe [v]
BESOOTHING	BESOOTHE, soothe [v]
BESORT	fit [v]
BESORTED	BESORT, fit [v]
BESORTING	BESORT, fit [v]
BESORTS	BESORT, fit [v]
BESOT	make stupid or muddled [v]
BESOTS	BESOT, make stupid or muddled [v]
BESOTTED	infatuated [adj]
BESOTTEDLY	BESOTTED, infatuated [adj]
BESOTTEDNESS	BESOTTED, infatuated [adj]
BESOTTEDNESSES	<besottedness>
BESOTTING	BESOT, make stupid or muddled [v]
BESOUGHT	BESEECH, ask earnestly [v]
BESOULED	having a soul [adj]
BESPAKE	BESPEAK, indicate or suggest [v]
BESPANGLE	cover or adorn with or as if with spangles [v]
BESPANGLED	BESPANGLE, cover or adorn with or as if with spangles [v]
BESPANGLES	BESPANGLE, cover or adorn with or as if with spangles [v]
BESPANGLING	BESPANGLE, cover or adorn with or as if with spangles [v]
BESPAT	BESPIT, cover with spittle [v]
BESPATE	BESPIT, cover with spittle [v]
BESPATTER	splash, eg with dirty water [v]
BESPATTERED	BESPATTER, splash, eg with dirty water [v]
BESPATTERING	BESPATTER, splash, eg with dirty water [v]
BESPATTERS	BESPATTER, splash, eg with dirty water [v]
BESPEAK	indicate or suggest [v]
BESPEAKING	BESPEAK, indicate or suggest [v]
BESPEAKS	BESPEAK, indicate or suggest [v]
BESPECKLE	mark with speckles [v]
BESPECKLED	BESPECKLE, mark with speckles [v]
BESPECKLES	BESPECKLE, mark with speckles [v]
BESPECKLING	BESPECKLE, mark with speckles [v]
BESPECTACLED	wearing spectacles [adj]
BESPED	BESPEED, get on with (doing something) [v]
BESPEED	get on with (doing something) [v]
BESPEEDING	BESPEED, get on with (doing something) [v]
BESPEEDS	BESPEED, get on with (doing something) [v]
BESPICE	flavour with spices [v]
BESPICED	BESPICE, flavour with spices [v]
BESPICES	BESPICE, flavour with spices [v]
BESPICING	BESPICE, flavour with spices [v]
BESPIT	cover with spittle [v]
BESPITS	BESPIT, cover with spittle [v]
BESPITTING	BESPIT, cover with spittle [v]
BESPOKE	(esp of a suit) made to the customer's specifications [adj]
BESPOKEN	BESPEAK, indicate or suggest [v]
BESPORT	amuse oneself [v]
BESPORTED	BESPORT, amuse oneself [v]
BESPORTING	BESPORT, amuse oneself [v]
BESPORTS	BESPORT, amuse oneself [v]
BESPOT	mark with spots [v]
BESPOTS	BESPOT, mark with spots [v]
BESPOTTED	BESPOT, mark with spots [v]
BESPOTTEDNESS	the state of being bespotted [n]
BESPOTTEDNESSES	BESPOTTEDNESS, the state of being bespotted [n]
BESPOTTING	BESPOT, mark with spots [v]
BESPOUSE	marry [v]
BESPOUSED	BESPOUSE, marry [v]
BESPOUSES	BESPOUSE, marry [v]
BESPOUSING	BESPOUSE, marry [v]
BESPOUT	speak pretentiously [v]
BESPOUTED	BESPOUT, speak pretentiously [v]
BESPOUTING	BESPOUT, speak pretentiously [v]
BESPOUTS	BESPOUT, speak pretentiously [v]
BESPREAD	cover (a surface) with something [v]
BESPREADING	BESPREAD, cover (a surface) with something [v]
BESPREADS	BESPREAD, cover (a surface) with something [v]
BESPRENT	sprinkled over [adj]
BESPRINKLE	to sprinkle over; to scatter over [v]
BESPRINKLED	BESPRINKLE, to sprinkle over; to scatter over [v]
BESPRINKLES	BESPRINKLE, to sprinkle over; to scatter over [v]
BESPRINKLING	BESPRINKLE, to sprinkle over; to scatter over [v]
BEST	most excellent of a particular group etc [adj] / in a manner surpassing all others [adv] / utmost effort [n] / defeat [v]
BESTAD	BESTEAD, serve; assist [v]
BESTADDE	BESTEAD, serve; assist [v]
BESTAIN	stain [v]
BESTAINED	BESTAIN, stain [v]
BESTAINING	BESTAIN, stain [v]
BESTAINS	BESTAIN, stain [v]
BESTAR	decorate with stars [v]
BESTARRED	BESTAR, decorate with stars [v]
BESTARRING	BESTAR, decorate with stars [v]
BESTARS	BESTAR, decorate with stars [v]
BESTEAD	serve; assist [v] / beset (by) [adj]
BESTEADED	BESTEAD, serve; assist [v]
BESTEADING	BESTEAD, serve; assist [v]
BESTEADS	BESTEAD, serve; assist [v]
BESTED	BEST, most excellent of a particular group etc [adj]
BESTEST	best [adj]
BESTI	SHAME, painful emotion caused by awareness of having done something foolish [n]
BESTIAL	brutal or savage [adj]
BESTIALISE	bestialize (to make bestial, or like a beast)
BESTIALISED	BESTIALISE [v]
BESTIALISES	BESTIALISE [v]
BESTIALISING	BESTIALISE [v]
BESTIALISM	having sexual intercourse with animals (not_family) [n]
BESTIALISMS	BESTIALISM, having sexual intercourse with animals (not_family) (not_family) [n]
BESTIALITIES	BESTIALITY, the state of being bestial [n]
BESTIALITY	the state of being bestial [n]
BESTIALIZE	to make bestial, or like a beast [v]
BESTIALIZED	BESTIALIZE, to make bestial, or like a beast [v]
BESTIALIZES	BESTIALIZE, to make bestial, or like a beast [v]
BESTIALIZING	BESTIALIZE, to make bestial, or like a beast [v]
BESTIALLY	BESTIAL, brutal or savage [adj]
BESTIALS	BESTIAL, brutal or savage [adj]
BESTIARIES	BESTIARY, medieval collection of descriptions of animals [n]
BESTIARY	medieval collection of descriptions of animals [n]
BESTICK	cover with sharp points [v]
BESTICKING	BESTICK, cover with sharp points [v]
BESTICKS	BESTICK, cover with sharp points [v]
BESTIE	best friend [n]
BESTIES	BESTIE, best friend [n]
BESTILL	cause to be still [v]
BESTILLED	BESTILL, cause to be still [v]
BESTILLING	BESTILL, cause to be still [v]
BESTILLS	BESTILL, cause to be still [v]
BESTING	BEST, most excellent of a particular group etc [adj]
BESTIR	cause (oneself) to become active [v]
BESTIRRED	BESTIR, cause (oneself) to become active [v]
BESTIRRING	BESTIR, cause (oneself) to become active [v]
BESTIRS	BESTIR, cause (oneself) to become active [v]
BESTIS	<besti>
BESTORM	assault [v]
BESTORMED	BESTORM, assault [v]
BESTORMING	BESTORM, assault [v]
BESTORMS	BESTORM, assault [v]
BESTOW	present (a gift) or confer (an honour) [v]
BESTOWAL	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWALS	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWED	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWER	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWERS	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWING	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWMENT	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWMENTS	BESTOW, present (a gift) or confer (an honour) [v]
BESTOWS	BESTOW, present (a gift) or confer (an honour) [v]
BESTRADDLE	mount; straddle [v]
BESTRADDLED	BESTRADDLE, mount; straddle [v]
BESTRADDLES	BESTRADDLE, mount; straddle [v]
BESTRADDLING	BESTRADDLE, mount; straddle [v]
BESTRAUGHT	distraught [adj]
BESTREAK	streak [v]
BESTREAKED	BESTREAK, streak [v]
BESTREAKING	BESTREAK, streak [v]
BESTREAKS	BESTREAK, streak [v]
BESTREW	scatter or lie scattered over (a surface) [v]
BESTREWED	BESTREW, scatter or lie scattered over (a surface) [v]
BESTREWING	BESTREW, scatter or lie scattered over (a surface) [v]
BESTREWN	BESTREW, scatter or lie scattered over (a surface) [v]
BESTREWS	BESTREW, scatter or lie scattered over (a surface) [v]
BESTRID	BESTRIDE, have or put a leg on either side of [v]
BESTRIDABLE	that can be bestridden [adj]
BESTRIDDEN	BESTRIDE, have or put a leg on either side of [v]
BESTRIDE	have or put a leg on either side of [v]
BESTRIDES	BESTRIDE, have or put a leg on either side of [v]
BESTRIDING	BESTRIDE, have or put a leg on either side of [v]
BESTRODE	BESTRIDE, have or put a leg on either side of [v]
BESTROW	bestrew (scatter or lie scattered over (a surface))
BESTROWED	BESTROW [v]
BESTROWING	BESTROW [v]
BESTROWN	BESTROW [v]
BESTROWS	BESTROW [v]
BESTS	BEST, most excellent of a particular group etc [adj]
BESTSELLER	a book, etc that has sold many copies [n]
BESTSELLERDOM	the world of bestsellers [n]
BESTSELLERDOMS	BESTSELLERDOM, the world of bestsellers [n]
BESTSELLERS	BESTSELLER, a book, etc that has sold many copies [n]
BESTSELLING	BESTSELLER, a book, etc that has sold many copies [n]
BESTUCK	BESTICK, cover with sharp points [v]
BESTUD	set with, or as with studs [v]
BESTUDDED	BESTUD, set with, or as with studs [v]
BESTUDDING	BESTUD, set with, or as with studs [v]
BESTUDS	BESTUD, set with, or as with studs [v]
BESUITED	wearing a suit [adj]
BESUNG	BESING, sing about joyfully [v]
BESWARM	swarm over [v]
BESWARMED	BESWARM, swarm over [v]
BESWARMING	BESWARM, swarm over [v]
BESWARMS	BESWARM, swarm over [v]
BET	wager between two parties predicting different outcomes of an event [n] / predict [v]
BETA	second letter in the Greek alphabet, a consonant, transliterated as b [n]
BETACAROTENE	a nutrient found in yellow and orange fruits and vegetables [n]
BETACAROTENES	BETACAROTENE, a nutrient found in yellow and orange fruits and vegetables [n]
BETACISM	type of speech impediment [n]
BETACISMS	BETACISM, type of speech impediment [n]
BETACYANIN	any one of a group of red nitrogenous pigments found in certain plants, such as beetroot [n]
BETACYANINS	BETACYANIN, any one of a group of red nitrogenous pigments found in certain plants, such as beetroot [n]
BETAINE	sweet-tasting alkaloid that occurs in the sugar beet [n]
BETAINES	BETAINE, sweet-tasting alkaloid that occurs in the sugar beet [n]
BETAKE	go [v]
BETAKEN	BETAKE, go [v]
BETAKES	BETAKE, go [v]
BETAKING	BETAKE, go [v]
BETAS	BETA, second letter in the Greek alphabet, a consonant, transliterated as b [n]
BETATOPIC	(of atoms) differing in proton number by one, theoretically as a result of emission of a beta particle [adj]
BETATRON	type of particle accelerator for producing high-energy beams of electrons [n]
BETATRONS	BETATRON, type of particle accelerator for producing high-energy beams of electrons [n]
BETATTER	make ragged [v]
BETATTERED	BETATTER, make ragged [v]
BETATTERING	BETATTER, make ragged [v]
BETATTERS	BETATTER, make ragged [v]
BETAXED	burdened with taxes [adj]
BETCHA	bet you (slang) [interj]
BETE	beet (plant with an edible root and leaves)
BETED	BETE [n]
BETEEM	accord [v]
BETEEME	beteem (accord)
BETEEMED	BETEEM, accord [v]
BETEEMES	BETEEME [v]
BETEEMING	BETEEM, accord [v]
BETEEMS	BETEEM, accord [v]
BETEL	Asian climbing plant, the leaves and nuts of which can be chewed [n]
BETELNUT	seed of the betel palm [n]
BETELNUTS	BETELNUT, seed of the betel palm [n]
BETELS	BETEL, Asian climbing plant, the leaves and nuts of which can be chewed [n]
BETES	BETE [n]
BETH	second letter of the Hebrew alphabet, transliterated as b [n]
BETHANK	thank (archaic) [v]
BETHANKED	BETHANK, thank (archaic) (archaic) [v]
BETHANKING	BETHANK, thank (archaic) (archaic) [v]
BETHANKIT	grace spoken before meal [n]
BETHANKITS	BETHANKIT, grace spoken before meal [n]
BETHANKS	BETHANK, thank (archaic) (archaic) [v]
BETHEL	seaman's chapel [n]
BETHELS	BETHEL, seaman's chapel [n]
BETHESDA	church building of certain Christian denominations [n]
BETHESDAS	BETHESDA, church building of certain Christian denominations [n]
BETHINK	cause (oneself) to consider or meditate [v]
BETHINKING	BETHINK, cause (oneself) to consider or meditate [v]
BETHINKS	BETHINK, cause (oneself) to consider or meditate [v]
BETHORN	cover with thorns [v]
BETHORNED	BETHORN, cover with thorns [v]
BETHORNING	BETHORN, cover with thorns [v]
BETHORNS	BETHORN, cover with thorns [v]
BETHOUGHT	BETHINK, cause (oneself) to consider or meditate [v]
BETHRALL	make a slave of [v]
BETHRALLED	BETHRALL, make a slave of [v]
BETHRALLING	BETHRALL, make a slave of [v]
BETHRALLS	BETHRALL, make a slave of [v]
BETHS	BETH, second letter of the Hebrew alphabet, transliterated as b [n]
BETHUMB	(of books) wear by handling [v]
BETHUMBED	BETHUMB, (of books) wear by handling [v]
BETHUMBING	BETHUMB, (of books) wear by handling [v]
BETHUMBS	BETHUMB, (of books) wear by handling [v]
BETHUMP	thump hard [v]
BETHUMPED	BETHUMP, thump hard [v]
BETHUMPING	BETHUMP, thump hard [v]
BETHUMPS	BETHUMP, thump hard [v]
BETHWACK	strike hard with flat object [v]
BETHWACKED	BETHWACK, strike hard with flat object [v]
BETHWACKING	BETHWACK, strike hard with flat object [v]
BETHWACKS	BETHWACK, strike hard with flat object [v]
BETID	BETIDE, happen (to) [v]
BETIDE	happen (to) [v]
BETIDED	BETIDE, happen (to) [v]
BETIDES	BETIDE, happen (to) [v]
BETIDING	BETIDE, happen (to) [v]
BETIGHT	BETIDE, happen (to) [v]
BETIME	befall [v]
BETIMED	BETIME, befall [v]
BETIMES	BETIME, befall (archaic) [v]
BETIMING	BETIME, befall [v]
BETING	BETE [n]
BETISE	folly or lack of perception [n]
BETISES	BETISE, folly or lack of perception [n]
BETITLE	give title to [v]
BETITLED	BETITLE, give title to [v]
BETITLES	BETITLE, give title to [v]
BETITLING	BETITLE, give title to [v]
BETOIL	tire through hard work [v]
BETOILED	BETOIL, tire through hard work [v]
BETOILING	BETOIL, tire through hard work [v]
BETOILS	BETOIL, tire through hard work [v]
BETOKEN	indicate or signify [v]
BETOKENED	BETOKEN, indicate or signify [v]
BETOKENING	BETOKEN, indicate or signify [v]
BETOKENS	BETOKEN, indicate or signify [v]
BETON	concrete [n]
BETONIES	BETONY, North American plant [n]
BETONS	BETON, concrete [n]
BETONY	North American plant [n]
BETOOK	BETAKE, go [v]
BETOSS	toss about [v]
BETOSSED	BETOSS, toss about [v]
BETOSSES	BETOSS, toss about [v]
BETOSSING	BETOSS, toss about [v]
BETRAY	hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYAL	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYALS	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYED	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYER	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYERS	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYING	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETRAYS	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BETREAD	tread over [v]
BETREADING	BETREAD, tread over [v]
BETREADS	BETREAD, tread over [v]
BETRIM	decorate [v]
BETRIMMED	BETRIM, decorate [v]
BETRIMMING	BETRIM, decorate [v]
BETRIMS	BETRIM, decorate [v]
BETROD	BETREAD, tread over [v]
BETRODDEN	BETREAD, tread over [v]
BETROTH	promise to marry or to give in marriage (archaic) [v]
BETROTHAL	engagement to be married [n]
BETROTHALS	BETROTHAL, engagement to be married [n]
BETROTHED	engaged to be married [adj] / person to whom one is engaged [n]
BETROTHEDS	BETROTHED, engaged to be married [adj]
BETROTHING	BETROTH, promise to marry or to give in marriage (archaic) (archaic) [v]
BETROTHMENT	betrothal (engagement to be married)
BETROTHMENTS	BETROTHAL, engagement to be married [n]
BETROTHS	BETROTH, promise to marry or to give in marriage (archaic) (archaic) [v]
BETS	BET, wager between two parties predicting different outcomes of an event [n]
BETTA	fighting fish [n]
BETTAS	BETTA, fighting fish [n]
BETTED	BET, wager between two parties predicting different outcomes of an event [n]
BETTER	more excellent than others [adj] / in a more excellent manner [adv] / improve upon [v]
BETTERED	BETTER, more excellent than others [adj]
BETTERING	BETTER, more excellent than others [adj]
BETTERINGS	BETTER, more excellent than others [adj]
BETTERMENT	a making or becoming better [n]
BETTERMENTS	BETTERMENT, a making or becoming better [n]
BETTERMOST	best [adj]
BETTERNESS	BETTER, more excellent than others [adj]
BETTERNESSES	BETTER, more excellent than others [adj]
BETTERS	BETTER, more excellent than others [adj]
BETTIES	BETTY, type of short crowbar [n]
BETTING	BET, wager between two parties predicting different outcomes of an event [n]
BETTINGS	BET, wager between two parties predicting different outcomes of an event [n]
BETTONG	short-nosed rat kangaroo [n]
BETTONGS	BETTONG, short-nosed rat kangaroo [n]
BETTOR	person who bets [n]
BETTORS	BETTOR, person who bets [n]
BETTY	type of short crowbar [n]
BETULACEOUS	of the birch family [adj]
BETUMBLED	thrown into disorder [adj]
BETWEEN	indicating position in the middle, alternatives, etc [adv] / at a point intermediate to two other points in space, time, etc [prep]
BETWEENBRAIN	part of the brain [n]
BETWEENBRAINS	BETWEENBRAIN, part of the brain [n]
BETWEENITIES	BETWEENITY, state of lying between two extremes [n]
BETWEENITY	state of lying between two extremes [n]
BETWEENNESS	BETWEEN, indicating position in the middle, alternatives, etc [adv]
BETWEENNESSES	BETWEEN, indicating position in the middle, alternatives, etc [adv]
BETWEENS	BETWEEN, indicating position in the middle, alternatives, etc (not_standard) [adv]
BETWEENTIME	at intervals [adv]
BETWEENTIMES	at intervals [adv]
BETWEENWHILES	betweentimes (at intervals)
BETWIXT	between [adv]
BEUNCLED	having many uncles [adj]
BEURRE	butter [n]
BEURRES	BEURRE, butter [n]
BEVATRON	proton synchrotron at the University of California [n]
BEVATRONS	BEVATRON, proton synchrotron at the University of California [n]
BEVEL	slanting edge [n] / slope [v]
BEVELED	BEVEL, slanting edge [n]
BEVELER	BEVEL, slanting edge [n]
BEVELERS	BEVEL, slanting edge [n]
BEVELING	BEVEL, slanting edge [n]
BEVELLED	BEVEL, slanting edge [n]
BEVELLER	BEVEL, slanting edge [n]
BEVELLERS	BEVEL, slanting edge [n]
BEVELLING	BEVEL, slanting edge [n]
BEVELLINGS	BEVEL, slanting edge [n]
BEVELMENT	BEVEL, slanting edge [n]
BEVELMENTS	BEVEL, slanting edge [n]
BEVELS	BEVEL, slanting edge [n]
BEVER	snack [n] / have a snack [v]
BEVERAGE	drink [n]
BEVERAGES	BEVERAGE, drink [n]
BEVERED	BEVER, snack [n]
BEVERING	BEVER, snack [n]
BEVERS	BEVER, snack [n]
BEVIES	BEVY, flock or group [n]
BEVOMIT	vomit over [v]
BEVOMITED	BEVOMIT, vomit over [v]
BEVOMITING	BEVOMIT, vomit over [v]
BEVOMITS	BEVOMIT, vomit over [v]
BEVOR	armour protecting lower part of face [n]
BEVORS	BEVOR, armour protecting lower part of face [n]
BEVUE	careless error [n]
BEVUES	BEVUE, careless error [n]
BEVVIED	BEVVY, alcoholic drink (slang) (slang) [n]
BEVVIES	BEVVY, alcoholic drink (slang) (slang) [n]
BEVVY	alcoholic drink (slang) [n] / drink alcohol (slang) [v]
BEVVYING	BEVVY, alcoholic drink (slang) (slang) [n]
BEVY	flock or group [n]
BEWAIL	express great sorrow over [v]
BEWAILED	BEWAIL, express great sorrow over [v]
BEWAILER	BEWAIL, express great sorrow over [v]
BEWAILERS	BEWAIL, express great sorrow over [v]
BEWAILING	BEWAIL, express great sorrow over [v]
BEWAILINGLY	BEWAIL, express great sorrow over [v]
BEWAILINGS	BEWAIL, express great sorrow over [v]
BEWAILS	BEWAIL, express great sorrow over [v]
BEWARE	be on one's guard (against) [v]
BEWARED	BEWARE, be on one's guard (against) [v]
BEWARES	BEWARE, be on one's guard (against) [v]
BEWARING	BEWARE, be on one's guard (against) [v]
BEWEARIED	BEWEARY, cause to be weary [v]
BEWEARIES	BEWEARY, cause to be weary [v]
BEWEARY	cause to be weary [v]
BEWEARYING	BEWEARY, cause to be weary [v]
BEWEEP	express grief through weeping [v]
BEWEEPING	BEWEEP, express grief through weeping [v]
BEWEEPS	BEWEEP, express grief through weeping [v]
BEWELTERED	soaked with blood [adj]
BEWENT	BEGO, harass; beset (archaic) (archaic) [v]
BEWEPT	BEWEEP, express grief through weeping [v]
BEWET	make wet [v]
BEWETS	BEWET, make wet [v]
BEWETTED	BEWET, make wet [v]
BEWETTING	BEWET, make wet [v]
BEWHISKERED	having whiskers [adj]
BEWHORE	treat as a whore (archaic, not_family) [v]
BEWHORED	BEWHORE, treat as a whore (archaic, not_family) (archaic, not_family) [v]
BEWHORES	BEWHORE, treat as a whore (archaic, not_family) (archaic, not_family) [v]
BEWHORING	BEWHORE, treat as a whore (archaic, not_family) (archaic, not_family) [v]
BEWIG	adorn with a wig [v]
BEWIGGED	BEWIG, adorn with a wig [v]
BEWIGGING	BEWIG, adorn with a wig [v]
BEWIGS	BEWIG, adorn with a wig [v]
BEWILDER	confuse utterly [v]
BEWILDERED	BEWILDER, confuse utterly [v]
BEWILDEREDLY	BEWILDER, confuse utterly [v]
BEWILDEREDNESS	BEWILDER, confuse utterly [v]
BEWILDERING	causing bewilderment [adj]
BEWILDERINGLY	BEWILDERING, causing bewilderment [adj]
BEWILDERMENT	the state of being bewildered [n]
BEWILDERMENTS	BEWILDERMENT, the state of being bewildered [n]
BEWILDERS	BEWILDER, confuse utterly [v]
BEWINGED	having wings [adj]
BEWITCH	attract and fascinate [v]
BEWITCHED	BEWITCH, attract and fascinate [v]
BEWITCHER	BEWITCH, attract and fascinate [v]
BEWITCHERIES	BEWITCHERY, charm [n]
BEWITCHERS	<bewitcher>
BEWITCHERY	charm [n]
BEWITCHES	BEWITCH, attract and fascinate [v]
BEWITCHING	BEWITCH, attract and fascinate [v]
BEWITCHINGLY	BEWITCH, attract and fascinate [v]
BEWITCHMENT	BEWITCH, attract and fascinate [v]
BEWITCHMENTS	BEWITCH, attract and fascinate [v]
BEWORM	fill with worms [v]
BEWORMED	BEWORM, fill with worms [v]
BEWORMING	BEWORM, fill with worms [v]
BEWORMS	BEWORM, fill with worms [v]
BEWORRIED	BEWORRY, beset with worry [v]
BEWORRIES	BEWORRY, beset with worry [v]
BEWORRY	beset with worry [v]
BEWORRYING	BEWORRY, beset with worry [v]
BEWRAP	wrap up [v]
BEWRAPPED	BEWRAP, wrap up [v]
BEWRAPPING	BEWRAP, wrap up [v]
BEWRAPS	BEWRAP, wrap up [v]
BEWRAPT	BEWRAP, wrap up [v]
BEWRAY	BETRAY, hand over or expose (one's nation, friend, etc) treacherously to an enemy [v]
BEWRAYED	<bewray>
BEWRAYER	<bewray>
BEWRAYERS	<bewray>
BEWRAYING	<bewray>
BEWRAYS	<bewray>
BEY	title in the Ottoman Empire [n]
BEYLIC	province ruled over by a bey [n]
BEYLICS	BEYLIC, province ruled over by a bey [n]
BEYLIK	beylic (province ruled over by a bey)
BEYLIKS	BEYLIK [n]
BEYOND	at or to a point on the other side of [prep] / at or to the far side of something [adv] / unknown, esp life after death [n]
BEYONDS	BEYOND, at or to a point on the other side of [prep]
BEYS	BEY, title in the Ottoman Empire [n]
BEZ	part of a deer's horn [n]
BEZANT	medieval Byzantine gold coin [n]
BEZANTS	BEZANT, medieval Byzantine gold coin [n]
BEZAZZ	PIZZAZZ, attractive combination of energy and style [n]
BEZAZZES	<bezazz>
BEZEL	sloping edge of a cutting tool [n]
BEZELLESS	without a bezel [adj]
BEZELS	BEZEL, sloping edge of a cutting tool [n]
BEZES	BEZ, part of a deer's horn [n]
BEZIL	ALCOHOLIC, of alcohol [adj]
BEZILS	<bezil>
BEZIQUE	card game for two or more players [n]
BEZIQUES	BEZIQUE, card game for two or more players [n]
BEZOAR	hard mass, such as a stone or hairball, in the stomach and intestines of animals [n]
BEZOARDIC	relating to bezoar [adj]
BEZOARS	BEZOAR, hard mass, such as a stone or hairball, in the stomach and intestines of animals [n]
BEZONIAN	knave or rascal (archaic) [n]
BEZONIANS	BEZONIAN, knave or rascal (archaic) (archaic) [n]
BEZZANT	bezant (medieval Byzantine gold coin)
BEZZANTS	BEZZANT [n]
BEZZAZZ	{bezazz}
BEZZAZZES	<bezzazz>
BEZZIE	best friend [n]
BEZZIES	BEZZIE, best friend [n]
BEZZLE	waste (money) [v]
BEZZLED	BEZZLE, waste (money) [v]
BEZZLES	BEZZLE, waste (money) [v]
BEZZLING	BEZZLE, waste (money) [v]
BEZZY	bezzie (best friend)
BHAGEE	bhaji (Indian deep-fried savoury of chopped vegetables in spiced batter)
BHAGEES	BHAGEE [n]
BHAI	Indian form of address for a man [n]
BHAIS	BHAI, Indian form of address for a man [n]
BHAJAN	singing of devotional songs and hymns [n]
BHAJANS	BHAJAN, singing of devotional songs and hymns [n]
BHAJEE	bhaji (Indian deep-fried savoury of chopped vegetables in spiced batter)
BHAJEES	BHAJEE [n]
BHAJI	Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAJIA	BHAJI, Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAJIS	BHAJI, Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAKTA	Hindu term for a devotee of God [n]
BHAKTAS	BHAKTA, Hindu term for a devotee of God [n]
BHAKTI	loving devotion to God leading to nirvana [n]
BHAKTIS	BHAKTI, loving devotion to God leading to nirvana [n]
BHANG	preparation of Indian hemp [n]
BHANGRA	Punjabi folk music combined with elements of Western pop music [n]
BHANGRAS	BHANGRA, Punjabi folk music combined with elements of Western pop music [n]
BHANGS	BHANG, preparation of Indian hemp [n]
BHARAL	wild Himalayan sheep [n]
BHARALS	BHARAL, wild Himalayan sheep [n]
BHAT	currency of Thailand [n]
BHATS	BHAT, currency of Thailand [n]
BHAVAN	(in India) a large house or building [n]
BHAVANS	BHAVAN, (in India) a large house or building [n]
BHAWAN	bhavan ((in India) a large house or building)
BHAWANS	BHAWAN [n]
BHEESTIE	bhishti ((formerly in India) a water-carrier)
BHEESTIES	BHEESTY [n]
BHEESTY	bhishti ((formerly in India) a water-carrier)
BHEL	bael (type of spiny Indian tree)
BHELPURI	Indian dish of puffed rice and vegetables [n]
BHELPURIS	BHELPURI, Indian dish of puffed rice and vegetables [n]
BHELS	BHEL [n]
BHIKHU	fully ordained Buddhist monk [n]
BHIKHUS	BHIKHU, fully ordained Buddhist monk [n]
BHIKKHUNI	fully ordained Buddhist nun [n]
BHIKKHUNIS	BHIKKHUNI, fully ordained Buddhist nun [n]
BHINDI	bindhi
BHINDIS	<bhindi>
BHISHTI	(formerly in India) a water-carrier [n]
BHISHTIS	BHISHTI, (formerly in India) a water-carrier [n]
BHISTEE	bhishti ((formerly in India) a water-carrier)
BHISTEES	BHISTEE [n]
BHISTI	bhishti ((formerly in India) a water-carrier)
BHISTIE	bhishti ((formerly in India) a water-carrier)
BHISTIES	BHISTIE [n]
BHISTIS	BHISTI [n]
BHOONA	bhuna (Indian sauce)
BHOONAS	BHOONA [n]
BHOOT	bhut (Hindu term for a type of ghost)
BHOOTS	BHOOT [n]
BHUNA	Indian sauce [n]
BHUNAS	BHUNA, Indian sauce [n]
BHUT	Hindu term for a type of ghost [n]
BHUTS	BHUT, Hindu term for a type of ghost [n]
BI	BISEXUAL, attracted to more than one sex or gender identity [adj]
BIACETYL	liquid with strong odour [n]
BIACETYLS	BIACETYL, liquid with strong odour [n]
BIACH	slang term for a subordinate or inferior person (not_family) [n]
BIACHES	BIACH, slang term for a subordinate or inferior person (not_family) (not_family) [n]
BIALI	bialy (type of bagel)
BIALIES	BIALY, type of bagel [n]
BIALIS	BIALI [n]
